unique_spon_names,normed_spon_names
"Zhongshan Hospital, Fudan University","Zhongshan Hospital, Fudan University"
"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine","Ruijin Hospital, Shanghai Jiao Tong University School of Medicine"
The Second Hospital of Shanxi Medical University,The Second Hospital of Shanxi Medical University
The First Affiliated Hospital of HeNan University of CM,The First Affiliated Hospital of He'nan University of Chinese Medicine
"Cancer Institute, Longhua Hospital, Shanghai University of Traditional Chinese Medicine","Cancer Institute, Longhua Hospital, Shanghai University of Traditional Chinese Medicine"
"Ningbo First Hospital, Ningbo Hospital of Zhejiang University","Ningbo First Hospital, Ningbo Hospital of Zhejiang University"
Shenzhen Hospital of Southern Medical University,Shenzhen Hospital of Southern Medical University
Nanchang Ninth Hospital,Nanchang Ninth Hospital
Wuhan Jin Yin-tan hospital,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital)
"Union hospital of Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The Second Affiliated Hospital of Xi'an Jiaotong University,The Second Affiliated Hospital of Xi'an Jiaotong University
"Department of Nephrology, Wuhan children's Hospital","Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology"
Hubei Provincial Integrated Hospital of traditional Chinese and Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Wuhan Red Cross Hospital,Wuhan Red Cross Hospital
"Institut National de la Sante Et de la Recherche Medicale, France","Institut National de la Santé Et de la Recherche Médicale, France"
"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University","Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University"
Huashan Hospital Fudan Universtiy,Huashan Hospital Fudan Universtiy
Sichuan Academy of Medical Sciences & Sichuan Provincial Peoples Hospital,Sichuan Academy of Medical Sciences & Sichuan Provincial People's Hospital
"Department of critical care medicine, the third affiliated hospital of zunyi medical university",Third Affiliated Hospital of Zunyi Medical University
"West China Second University Hospital, Sichuan University","West China Second Hospital, Sichuan University"
Lishui Central Hospital,Lishui Central Hospital
"Southeast University, China","Southeast University, China"
Shenzhen Second People's Hospital,Shenzhen Second People's Hospital
Longhua Hospital Affiliated to Shanghai University of traditional Chinese Medicine,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine
"Yueyang Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai University of Traditional Chinese Medicine,",Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
Shanghai General Hospital of Shanghai Jiaotong University,Shanghai General Hospital of Shanghai Jiaotong University
"Department of Nephrology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College",Chinese Academy of Medical Sciences Peking Union Medical College Hospital
"Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology","Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology"
"Department of Critical Care Medicine, the Third Affiliated Hospital of Zunyi Medical University",Third Affiliated Hospital of Zunyi Medical University
The Second Affiliated Hospital of Wenzhou Medical University,The Second Affiliated Hospital of Wenzhou Medical University
the First Affiliated Hospital Division of Life Sciences and Medicine University of Science and Technology of China,The First Affiliated Hospital Division of Life Sciences and Medicine University of Science and Technology of China
"Department of Hematology, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Shanghai First People's Hospital,Shanghai First People's Hospital
Zhejiang Hospital,Zhejiang Hospital
University of Milan,University of Milan
The Second Clinical College of Guangzhou University of Chinese Medicine,The Second Clinical College of Guangzhou University of Chinese Medicine
Fifth People's Hospital of Ganzhou,The Fifth People's Hospital of Ganzhou
"Department of Ultrasound, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"The First Affiliated Hospital, College of Medicine, Zhejiang University",The First Affiliated Hospital of Zhengzhou University
Shanghai Sixth People's Hospital,Shanghai Sixth People's Hospital
Guangzhou Blood Center,Guangzhou Blood Center
Jingzhou Mental Health Center,Jingzhou Mental Health Center
The First Affiliated Hospital of Guangzhou University of TCM,The First Affiliated Hospital of Guangzhou University of TCM
"Tongji Hospital,Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
First Affiliated Hospital of Anhui Medical University,The First Affiliated Hospital of Anhui Medical University
Chinese University of Hong Kong,Chinese University of Hong Kong
Key Laboratory of Ministry of Industry and Information Technology of Biomedical Engineering and Translational Medicine,Key Laboratory of Ministry of Industry and Information Technology of Biomedical Engineering and Translational Medicine
the First Affiliated Hospital of Xinxiang Medical University,The First Affiliated Hospital of Xinxiang Medical University
The First Affiliated Hospital of Harbin Medical University,The First Affiliated Hospital of Harbin Medical University
